person_id,family_name,given_name,item
uk.org.publicwhip/person/18728,Peart,Thomas,https://www.wikidata.org/wiki/Q333371
uk.org.publicwhip/person/18904,Renton,David,https://www.wikidata.org/wiki/Q333685
uk.org.publicwhip/person/21747,Bruce,Donald,https://www.wikidata.org/wiki/Q5294081
uk.org.publicwhip/person/21822,Wallace,George,https://www.wikidata.org/wiki/Q5545827
uk.org.publicwhip/person/17788,Hinchingbrooke,,https://www.wikidata.org/wiki/Q7926168
uk.org.publicwhip/person/17481,Gammans,David,https://www.wikidata.org/wiki/Q7526399
uk.org.publicwhip/person/21795,Bowles,Francis,https://www.wikidata.org/wiki/Q5485424
uk.org.publicwhip/person/22549,Hogg,Quintin,https://www.wikidata.org/wiki/Q175366
uk.org.publicwhip/person/19067,Shawcross,Hartley,https://www.wikidata.org/wiki/Q334142
uk.org.publicwhip/person/14155,Castle,Barbara,https://www.wikidata.org/wiki/Q2883936
uk.org.publicwhip/person/21948,Diamond,Jack,https://www.wikidata.org/wiki/Q6229339
uk.org.publicwhip/person/21682,Low,Toby,https://www.wikidata.org/wiki/Q7811838
uk.org.publicwhip/person/22209,Vernon,Wilfred,https://www.wikidata.org/wiki/Q8001998
uk.org.publicwhip/person/16434,Bramall,Ernest,https://www.wikidata.org/wiki/Q4805372
uk.org.publicwhip/person/18540,Mullan,Charles,https://www.wikidata.org/wiki/Q5079014
uk.org.publicwhip/person/21944,Evans,John,https://www.wikidata.org/wiki/Q6231992
uk.org.publicwhip/person/18394,McFarlane,Charles,https://www.wikidata.org/wiki/Q5082749
uk.org.publicwhip/person/16436,Jenkins,Roy,https://www.wikidata.org/wiki/Q323488
uk.org.publicwhip/person/19376,Grant of Monymusk,,https://www.wikidata.org/wiki/Q7245582
uk.org.publicwhip/person/16771,Braine,Bernard,https://www.wikidata.org/wiki/Q4892947
uk.org.publicwhip/person/17157,Deedes,William,https://www.wikidata.org/wiki/Q335420
uk.org.publicwhip/person/21769,White,Eirene,https://www.wikidata.org/wiki/Q5349851
uk.org.publicwhip/person/16435,Carr,Robert,https://www.wikidata.org/wiki/Q333896
uk.org.publicwhip/person/22518,Nicholls,Harmar,https://www.wikidata.org/wiki/Q5659075
uk.org.publicwhip/person/22103,Wood,Richard,https://www.wikidata.org/wiki/Q7330071
uk.org.publicwhip/person/19272,Teevan,Thomas,https://www.wikidata.org/wiki/Q7791815
uk.org.publicwhip/person/16553,Barber,Anthony,https://www.wikidata.org/wiki/Q333193
uk.org.publicwhip/person/22502,Short,Edward,https://www.wikidata.org/wiki/Q333944
uk.org.publicwhip/person/21711,Hughes,Cledwyn,https://www.wikidata.org/wiki/Q333652
