person_id,has_id,family_name,given_name,lordname,item_short
uk.org.publicwhip/person/12917,FALSE,NA,David Bentley,,Q5231324
uk.org.publicwhip/person/13377,FALSE,NA,NA,NA,Q335078
uk.org.publicwhip/person/13404,FALSE,NA,Robert Hardy,,Q7345247
uk.org.publicwhip/person/13883,FALSE,NA,John Packer,,Q1667151
uk.org.publicwhip/person/13935,FALSE,"the Second, by the Grace of God, of the United Kingdom of Great Britain and Northern Ireland and of Her other Realms and Territories Queen, Head of the Commonwealth, Defender of the Faith",Elizabeth,NA,Q9682
uk.org.publicwhip/person/13941,FALSE,NA,Geoffrey Graham Dow,,Q1541911
uk.org.publicwhip/person/13942,FALSE,NA,Anthony Russell,,Q573941
uk.org.publicwhip/person/14127,FALSE,NA,John William Hind,,Q780817
uk.org.publicwhip/person/14132,FALSE,NA,John Charles Saxbee,,Q1322709
uk.org.publicwhip/person/14135,FALSE,NA,Peter Price,,Q2077618
uk.org.publicwhip/person/14144,FALSE,NA,David Charles James,,Q286937
uk.org.publicwhip/person/24687,FALSE,NA,Stephen George Platten,,Q520881
uk.org.publicwhip/person/24693,FALSE,NA,Michael Arthur Hill,,Q1498629
uk.org.publicwhip/person/24698,FALSE,NA,Anthony Martin Priddis,,Q573819
uk.org.publicwhip/person/24699,FALSE,NA,Jonathan Michael Gledhill,,Q1703178
uk.org.publicwhip/person/24700,FALSE,NA,Nicholas Stewart Reade,,Q1984977
uk.org.publicwhip/person/24706,FALSE,NA,Michael Francis Perham,,Q1927449
uk.org.publicwhip/person/24968,FALSE,NA,Christopher John Hill,,Q1086743
uk.org.publicwhip/person/24976,FALSE,NA,Alastair Llewellyn John Redfern,,Q1494837
uk.org.publicwhip/person/25019,FALSE,NA,John Lawrence Pritchard,,Q1701479
uk.org.publicwhip/person/25069,FALSE,NA,William Nigel Stock,,Q255795
uk.org.publicwhip/person/25176,FALSE,NA,Timothy Martin Thornton,,Q2434330
uk.org.publicwhip/person/25730,FALSE,NA,NA,NA,Q694775
uk.org.publicwhip/person/25733,FALSE,NA,NA,NA,Q257800
uk.org.publicwhip/person/25944,FALSE,NA,NA,NA,Q271828
uk.org.publicwhip/person/26036,FALSE,NA,Thomas,,Q7788516
uk.org.publicwhip/person/26043,FALSE,NA,Simon,Stevens,Q17020440
uk.org.publicwhip/person/26045,FALSE,NA,Ruth,Davidson,Q2177593
uk.org.publicwhip/person/26048,FALSE,NA,Paul,,Q7149273
uk.org.publicwhip/person/26105,FALSE,NA,Andrew,Roberts,Q4758403
uk.org.publicwhip/person/26122,FALSE,NA,Peter,,Q7172335
uk.org.publicwhip/person/26258,FALSE,NA,NA,NA,NA
uk.org.publicwhip/person/26259,FALSE,NA,NA,NA,NA
uk.org.publicwhip/person/26260,FALSE,NA,NA,NA,NA
uk.org.publicwhip/person/26261,FALSE,NA,NA,NA,NA
uk.org.publicwhip/person/26262,FALSE,NA,NA,NA,NA
uk.org.publicwhip/person/26263,FALSE,NA,NA,NA,NA
uk.org.publicwhip/person/26265,FALSE,NA,NA,NA,NA
uk.org.publicwhip/person/26266,FALSE,NA,NA,NA,NA
uk.org.publicwhip/person/26267,FALSE,NA,NA,NA,NA
uk.org.publicwhip/person/26273,FALSE,NA,NA,NA,NA
uk.org.publicwhip/person/26275,FALSE,NA,NA,NA,NA
uk.org.publicwhip/person/26279,FALSE,NA,NA,NA,NA
