item,itemLabel,dob,twfyid,sexLabel
http://www.wikidata.org/entity/Q206269,"Dudley Allenby, 2nd Viscount Allenby",1903-01-08T00:00:00Z,,male
http://www.wikidata.org/entity/Q213573,"Prince Frederick, Duke of York and Albany",1763-08-16T00:00:00Z,,male
http://www.wikidata.org/entity/Q216129,Horatio Kitchener,1850-06-24T00:00:00Z,,male
http://www.wikidata.org/entity/Q222458,"Frederick Stanley, 16th Earl of Derby",1841-01-15T00:00:00Z,14374,male
http://www.wikidata.org/entity/Q233201,"Louise de Keroual, Duchess of Portsmouth",1649-09-06T00:00:00Z,,female
http://www.wikidata.org/entity/Q245654,James Stuart,1696-01-01T00:00:00Z,,male
http://www.wikidata.org/entity/Q246026,"Patrick Anson, 5th Earl of Lichfield",1939-04-25T00:00:00Z,,male
http://www.wikidata.org/entity/Q253557,"Anthony Grey, 11th Earl of Kent",1645-06-11T00:00:00Z,,male
http://www.wikidata.org/entity/Q254422,"Maxwell Aitken, 3rd Baron Beaverbrook",1951-12-29T00:00:00Z,,male
http://www.wikidata.org/entity/Q262551,George Cassidy,1942-10-17T00:00:00Z,13174,male
http://www.wikidata.org/entity/Q262559,"John de la Pole, 2nd Duke of Suffolk",1442-10-06T00:00:00Z,,male
http://www.wikidata.org/entity/Q263128,"Hugh Dowding, 1st Baron Dowding",1882-04-24T00:00:00Z,,male
http://www.wikidata.org/entity/Q266468,"Thomas Ashton, 1st Baron Ashton of Hyde",1855-02-05T00:00:00Z,15247,male
http://www.wikidata.org/entity/Q269412,George V,1865-06-03T00:00:00Z,,male
http://www.wikidata.org/entity/Q275061,"Catherine Sedley, Countess of Dorchester",1657-12-21T00:00:00Z,,female
http://www.wikidata.org/entity/Q275110,"Charles Stuart, 1st Baron Stuart de Rothesay",1779-01-02T00:00:00Z,,male
http://www.wikidata.org/entity/Q275336,"John Stuart, 1st Marquess of Bute",1744-06-30T00:00:00Z,,male
http://www.wikidata.org/entity/Q333744,"George Nugent-Temple-Grenville, 1st Marquess of Buckingham",1753-06-17T00:00:00Z,,male
http://www.wikidata.org/entity/Q333855,"Herbert Austin, 1st Baron Austin",1866-11-08T00:00:00Z,19673,male
http://www.wikidata.org/entity/Q333863,"David Alfred Thomas, 1st Viscount Rhondda",1856-03-26T00:00:00Z,15604,male
http://www.wikidata.org/entity/Q334012,"Somerset Lowry-Corry, 2nd Earl Belmore",1774-07-11T00:00:00Z,,male
http://www.wikidata.org/entity/Q334027,"Charles Russell, Baron Russell of Killowen",1832-11-10T00:00:00Z,14273,male
http://www.wikidata.org/entity/Q334067,"Charles Stanhope, 3rd Earl Stanhope",1753-08-03T00:00:00Z,,male
http://www.wikidata.org/entity/Q334092,"Gerard Lake, 1st Viscount Lake",1744-07-27T00:00:00Z,,male
http://www.wikidata.org/entity/Q334177,"Gordon Hewart, 1st Viscount Hewart",1870-01-07T00:00:00Z,17762,male
http://www.wikidata.org/entity/Q334201,"Davison Dalziel, 1st Baron Dalziel of Wooler",1852-10-17T00:00:00Z,21111,male
http://www.wikidata.org/entity/Q334234,"John Manners-Sutton, 3rd Viscount Canterbury",1814-05-27T00:00:00Z,,male
http://www.wikidata.org/entity/Q334251,"Richard Webster, 1st Viscount Alverstone",1842-12-22T00:00:00Z,14482,male
http://www.wikidata.org/entity/Q334253,"Francis Needham, 3rd Earl of Kilmorey",1842-08-02T00:00:00Z,18593,male
http://www.wikidata.org/entity/Q332969,"John Knatchbull, 7th Baron Brabourne",1924-11-09T00:00:00Z,,male
http://www.wikidata.org/entity/Q333004,John Buchan,1875-08-26T00:00:00Z,22454,male
http://www.wikidata.org/entity/Q333102,"Thomas Denman, 1st Baron Denman",1779-02-23T00:00:00Z,23196,male
http://www.wikidata.org/entity/Q333102,"Thomas Denman, 1st Baron Denman",1779-07-23T00:00:00Z,23196,male
http://www.wikidata.org/entity/Q333205,"Robert Gascoyne-Cecil, 5th Marquess of Salisbury",1893-08-27T00:00:00Z,21478,male
http://www.wikidata.org/entity/Q333207,"Edward Law, 1st Earl of Ellenborough",1790-09-08T00:00:00Z,23728,male
http://www.wikidata.org/entity/Q333244,"Norman Birkett, 1st Baron Birkett",1883-09-06T00:00:00Z,16668,male
http://www.wikidata.org/entity/Q333300,"James Maitland, 8th Earl of Lauderdale",1759-01-26T00:00:00Z,,male
http://www.wikidata.org/entity/Q333336,"Albert Grey, 4th Earl Grey",1851-11-28T00:00:00Z,15211,male
http://www.wikidata.org/entity/Q333339,"John Pakington, 1st Baron Hampton",1799-02-20T00:00:00Z,16189,male
http://www.wikidata.org/entity/Q333364,"Henry Forster, 1st Baron Forster",1866-01-31T00:00:00Z,15652,male
