person_id,speaker,person,personLabel
uk.org.publicwhip/person/10013,NA,http://www.wikidata.org/entity/Q259736,James Arbuthnot
uk.org.publicwhip/person/10034,NA,http://www.wikidata.org/entity/Q260960,Alan Beith
uk.org.publicwhip/person/10050,NA,http://www.wikidata.org/entity/Q264196,David Blunkett
uk.org.publicwhip/person/10074,NA,http://www.wikidata.org/entity/Q266113,Malcolm Bruce
uk.org.publicwhip/person/10088,NA,http://www.wikidata.org/entity/Q248021,Menzies Campbell
uk.org.publicwhip/person/10115,NA,http://www.wikidata.org/entity/Q271889,Kenneth Clarke
uk.org.publicwhip/person/10121,NA,http://www.wikidata.org/entity/Q285975,Vernon Coaker
uk.org.publicwhip/person/10153,NA,http://www.wikidata.org/entity/Q296639,Alistair Darling
uk.org.publicwhip/person/10197,NA,http://www.wikidata.org/entity/Q304388,Frank Field
uk.org.publicwhip/person/10208,NA,http://www.wikidata.org/entity/Q390737,Don Foster
uk.org.publicwhip/person/10221,NA,http://www.wikidata.org/entity/Q334339,Edward Garnier
uk.org.publicwhip/person/10251,NA,http://www.wikidata.org/entity/Q58282,William Hague
uk.org.publicwhip/person/10252,NA,http://www.wikidata.org/entity/Q333165,Peter Hain
uk.org.publicwhip/person/10257,NA,http://www.wikidata.org/entity/Q332987,Philip Hammond
uk.org.publicwhip/person/10263,NA,http://www.wikidata.org/entity/Q478442,Alan Haselhurst
uk.org.publicwhip/person/10282,NA,http://www.wikidata.org/entity/Q689166,Kate Hoey
uk.org.publicwhip/person/10283,NA,http://www.wikidata.org/entity/Q333964,Douglas Hogg
uk.org.publicwhip/person/10326,NA,http://www.wikidata.org/entity/Q272642,Tessa Jowell
uk.org.publicwhip/person/10349,NA,http://www.wikidata.org/entity/Q333276,Andrew Lansley
uk.org.publicwhip/person/10362,NA,http://www.wikidata.org/entity/Q19831,Peter Lilley
uk.org.publicwhip/person/10389,NA,http://www.wikidata.org/entity/Q544947,Anne McIntosh
uk.org.publicwhip/person/10397,NA,http://www.wikidata.org/entity/Q333267,Patrick McLoughlin
uk.org.publicwhip/person/10423,NA,http://www.wikidata.org/entity/Q333986,Francis Maude
uk.org.publicwhip/person/10454,NA,http://www.wikidata.org/entity/Q333828,Paul Murphy
uk.org.publicwhip/person/10477,NA,http://www.wikidata.org/entity/Q333493,Eric Pickles
