speaker,person_id,wikidata,name2use
uk.org.publicwhip/lord/100811,uk.org.publicwhip/person/12837,NA,Lesley Griffiths
uk.org.publicwhip/lord/100145,uk.org.publicwhip/person/12873,NA,James 
uk.org.publicwhip/lord/100020,uk.org.publicwhip/person/12883,NA,Arthur 
uk.org.publicwhip/lord/100415,uk.org.publicwhip/person/12903,NA,James 
uk.org.publicwhip/lord/100414,uk.org.publicwhip/person/12904,NA,Margaret 
uk.org.publicwhip/lord/100181,uk.org.publicwhip/person/12999,NA,Alexander 
uk.org.publicwhip/lord/100551,uk.org.publicwhip/person/13006,NA,Peter 
uk.org.publicwhip/lord/100300,uk.org.publicwhip/person/13082,NA,David 
uk.org.publicwhip/lord/100842,uk.org.publicwhip/person/13151,NA,Edward 
uk.org.publicwhip/lord/100591,uk.org.publicwhip/person/13152,NA,Charles 
uk.org.publicwhip/lord/100473,uk.org.publicwhip/person/13166,NA,William 
uk.org.publicwhip/lord/100835,uk.org.publicwhip/person/13170,NA,Patrick 
uk.org.publicwhip/lord/100578,uk.org.publicwhip/person/13181,NA,John 
uk.org.publicwhip/lord/100197,uk.org.publicwhip/person/13229,NA,Merlin 
uk.org.publicwhip/lord/100713,uk.org.publicwhip/person/13266,NA,Henry 
uk.org.publicwhip/lord/100437,uk.org.publicwhip/person/13289,NA,James 
uk.org.publicwhip/lord/100377,uk.org.publicwhip/person/13298,NA,Edward 
uk.org.publicwhip/lord/100099,uk.org.publicwhip/person/13351,NA,Malcolm 
uk.org.publicwhip/lord/100729,uk.org.publicwhip/person/13403,NA,Francis 
uk.org.publicwhip/lord/100728,uk.org.publicwhip/person/13404,NA,Robert Hardy 
uk.org.publicwhip/lord/100465,uk.org.publicwhip/person/13436,NA,David 
uk.org.publicwhip/lord/100462,uk.org.publicwhip/person/13437,NA,Miles 
uk.org.publicwhip/lord/100821,uk.org.publicwhip/person/13450,NA,Tony Young
uk.org.publicwhip/lord/100137,uk.org.publicwhip/person/13516,NA,John Colville
uk.org.publicwhip/lord/100254,uk.org.publicwhip/person/13573,NA,James Gray
uk.org.publicwhip/lord/100569,uk.org.publicwhip/person/13633,NA,John 
uk.org.publicwhip/lord/100375,uk.org.publicwhip/person/13646,NA,Francis 
uk.org.publicwhip/lord/100372,uk.org.publicwhip/person/13647,NA,James 
uk.org.publicwhip/lord/100604,uk.org.publicwhip/person/13657,NA,Antony 
uk.org.publicwhip/lord/100902,uk.org.publicwhip/person/13716,NA, Turnbull
uk.org.publicwhip/lord/101226,uk.org.publicwhip/person/25251,NA,Raymond 
uk.org.publicwhip/lord/100697,uk.org.publicwhip/person/13622,Q104783350,David Wolfson
uk.org.publicwhip/lord/100221,uk.org.publicwhip/person/13312,Q104898,Norman Foster
uk.org.publicwhip/lord/100915,uk.org.publicwhip/person/13728,Q1052914,Celia Thomas
uk.org.publicwhip/lord/100024,uk.org.publicwhip/person/12879,Q105667,Catherine Ashton
uk.org.publicwhip/lord/100446,uk.org.publicwhip/person/13041,Q10567452,Charles Mowbray and Stourton
uk.org.publicwhip/lord/100389,uk.org.publicwhip/person/13154,Q1065379,Charles Lyell
uk.org.publicwhip/lord/100510,uk.org.publicwhip/person/13695,Q1065805,Charles Powell
uk.org.publicwhip/lord/100568,uk.org.publicwhip/person/12912,Q1066006,Charles Sanderson
uk.org.publicwhip/lord/100687,uk.org.publicwhip/person/12960,Q1066450,Charles Williams
uk.org.publicwhip/lord/100731,uk.org.publicwhip/person/13431,Q106762,George Porter
uk.org.publicwhip/lord/100152,uk.org.publicwhip/person/13094,Q1083483,Christine Crawley
uk.org.publicwhip/lord/100058,uk.org.publicwhip/person/13367,Q1086506,Christopher Bledisloe
uk.org.publicwhip/lord/100281,uk.org.publicwhip/person/13500,Q1086719,Christopher Haskins
uk.org.publicwhip/lord/100906,uk.org.publicwhip/person/13500,Q1086719,Christopher Haskins
uk.org.publicwhip/lord/101009,uk.org.publicwhip/person/24968,Q1086743,Christopher John Hill 
uk.org.publicwhip/lord/100463,uk.org.publicwhip/person/13438,Q1086773,Christopher Northbourne
uk.org.publicwhip/lord/100253,uk.org.publicwhip/person/13570,Q1086986,Christopher Grantchester
uk.org.publicwhip/lord/101121,uk.org.publicwhip/person/25056,Q1094831,Claire Tyler
uk.org.publicwhip/lord/100445,uk.org.publicwhip/person/13040,Q1098410,Claus Moser
uk.org.publicwhip/lord/100081,uk.org.publicwhip/person/13611,Q1101869,Clive Brooke
uk.org.publicwhip/lord/100297,uk.org.publicwhip/person/13222,Q1101965,Clive Hollick
uk.org.publicwhip/lord/100865,uk.org.publicwhip/person/10556,Q1101999,Clive Soley
uk.org.publicwhip/lord/100943,uk.org.publicwhip/person/13738,Q1108359,Colin Boyd
uk.org.publicwhip/lord/100928,uk.org.publicwhip/person/13876,Q1108533,Colin Low
uk.org.publicwhip/lord/100672,uk.org.publicwhip/person/12894,Q1111867,Diana Warwick
uk.org.publicwhip/lord/101154,uk.org.publicwhip/person/25172,Q111558,Christopher Cocksworth 
uk.org.publicwhip/lord/101145,uk.org.publicwhip/person/25164,Q111574,Paul Clive Deighton
uk.org.publicwhip/lord/100367,uk.org.publicwhip/person/13378,Q112908,Anthony Lester
uk.org.publicwhip/lord/100611,uk.org.publicwhip/person/13384,Q1149316,David Stevens
uk.org.publicwhip/lord/100104,uk.org.publicwhip/person/10090,Q1157836,Dale Campbell-Savours
uk.org.publicwhip/lord/100078,uk.org.publicwhip/person/13644,Q11590799,Heather Brigstocke
uk.org.publicwhip/lord/100071,uk.org.publicwhip/person/13635,Q1160170,Dan Brennan
uk.org.publicwhip/lord/100012,uk.org.publicwhip/person/13103,Q1173562,David Alton
uk.org.publicwhip/lord/100084,uk.org.publicwhip/person/13606,Q1173838,Keith Brookman
uk.org.publicwhip/lord/100148,uk.org.publicwhip/person/13235,Q1174088,David Craig
uk.org.publicwhip/lord/100158,uk.org.publicwhip/person/12966,Q1174122,David Currie
uk.org.publicwhip/lord/100200,uk.org.publicwhip/person/12852,Q1174371,David Evans
uk.org.publicwhip/lord/100992,uk.org.publicwhip/person/24689,Q1174459,David Anthony Freud
uk.org.publicwhip/lord/100645,uk.org.publicwhip/person/13540,Q1174523,David Trefgarne
uk.org.publicwhip/lord/101125,uk.org.publicwhip/person/25054,Q1174557,David Laurence Gold
uk.org.publicwhip/lord/100932,uk.org.publicwhip/person/13880,Q1174856,David James
uk.org.publicwhip/lord/100619,uk.org.publicwhip/person/13629,Q1174967,David Strabolgi
uk.org.publicwhip/lord/100133,uk.org.publicwhip/person/13520,Q1175362,David Cobbold
uk.org.publicwhip/lord/101130,uk.org.publicwhip/person/10394,Q1175443,David Maclean / David John Maclean Blencathra
uk.org.publicwhip/lord/100854,uk.org.publicwhip/person/12928,Q1175730,David Montgomery
uk.org.publicwhip/lord/100458,uk.org.publicwhip/person/13701,Q1175906,David Nickson
uk.org.publicwhip/lord/101133,uk.org.publicwhip/person/25071,Q1176158,David Stephen Geoffrey Pollock Hanworth
uk.org.publicwhip/lord/100593,uk.org.publicwhip/person/13456,Q1176663,Jan Simon
uk.org.publicwhip/lord/100564,uk.org.publicwhip/person/13628,Q1176712,David Staffurth Stancliffe 
uk.org.publicwhip/lord/100616,uk.org.publicwhip/person/13557,Q1176748,David Stoddart
uk.org.publicwhip/lord/101071,uk.org.publicwhip/person/25013,Q1176935,David Andrew Urquhart 
uk.org.publicwhip/lord/100690,uk.org.publicwhip/person/13072,Q1176971,Leopold Willoughby de Broke
uk.org.publicwhip/lord/100945,uk.org.publicwhip/person/13072,Q1176971,Leopold Willoughby de Broke
uk.org.publicwhip/lord/100201,uk.org.publicwhip/person/12853,Q11806772,Harry Ewing
uk.org.publicwhip/lord/101054,uk.org.publicwhip/person/25001,Q1181603,Deborah Stedman-Scott
uk.org.publicwhip/lord/100812,uk.org.publicwhip/person/12836,Q1187677,Denis Tunnicliffe
uk.org.publicwhip/lord/100916,uk.org.publicwhip/person/13726,Q1187771,Denise Kingsmill
uk.org.publicwhip/lord/100546,uk.org.publicwhip/person/13330,Q1189472,Dennis Rogan
uk.org.publicwhip/lord/100612,uk.org.publicwhip/person/13387,Q1189537,Henry Stevenson
uk.org.publicwhip/lord/100860,uk.org.publicwhip/person/10607,Q1189567,Dennis Turner / Dennis Bilston
uk.org.publicwhip/lord/100262,uk.org.publicwhip/person/13416,Q1193437,Hugh Griffiths
uk.org.publicwhip/lord/100202,uk.org.publicwhip/person/12850,Q1200019,Derek Ezra
uk.org.publicwhip/lord/100849,uk.org.publicwhip/person/10207,Q1200029,Derek Foster
uk.org.publicwhip/lord/100470,uk.org.publicwhip/person/13165,Q1201565,Detta O'Cathain
uk.org.publicwhip/lord/100187,uk.org.publicwhip/person/12997,Q1208810,Diana Eccles
uk.org.publicwhip/lord/100409,uk.org.publicwhip/person/13130,Q1208851,Diana Maddock
uk.org.publicwhip/lord/101016,uk.org.publicwhip/person/24973,Q1209038,Dianne Hayter
uk.org.publicwhip/lord/100848,uk.org.publicwhip/person/10291,Q1228567,Alan Howarth
uk.org.publicwhip/lord/101225,uk.org.publicwhip/person/25250,Q1230084,Martin John Callanan
uk.org.publicwhip/lord/101098,uk.org.publicwhip/person/10201,Q1234410,Howard Flight / Howard Emerson Flight
uk.org.publicwhip/lord/100841,uk.org.publicwhip/person/13150,Q1236990,John Stevens
