id,item,itemLabel.x,itemLabel.y,nuniq_id2item,nuniq_item2id
uk.org.publicwhip/person/18943,http://www.wikidata.org/entity/Q1025409,Caerwyn Roderick,Caerwyn Roderick,1,1
uk.org.publicwhip/person/21918,http://www.wikidata.org/entity/Q10305069,James Dunn,James Dunn,1,1
uk.org.publicwhip/person/18240,http://www.wikidata.org/entity/Q1049595,Roderick MacFarquhar,Roderick MacFarquhar,1,1
uk.org.publicwhip/person/10617,http://www.wikidata.org/entity/Q1052366,Cecil Walker,Cecil Walker,1,1
uk.org.publicwhip/person/16871,http://www.wikidata.org/entity/Q10523755,Jocelyn Cadbury,Jocelyn Cadbury,1,1
uk.org.publicwhip/person/10465,http://www.wikidata.org/entity/Q1055918,Lembit Opik,Lembit Öpik,1,1
uk.org.publicwhip/person/16589,http://www.wikidata.org/entity/Q1063686,Charles Beattie,Charles Beattie,1,1
uk.org.publicwhip/person/10068,http://www.wikidata.org/entity/Q10648,Gordon Brown,Gordon Brown,1,1
uk.org.publicwhip/person/10525,http://www.wikidata.org/entity/Q10652,Alex Salmond,Alex Salmond,1,1
uk.org.publicwhip/person/26020,http://www.wikidata.org/entity/Q106828783,Anum Qaisar-Javed,Anum Qaisar-Javed,1,1
uk.org.publicwhip/person/26040,http://www.wikidata.org/entity/Q107009776,Kim Leadbeater,Kim Leadbeater,1,1
uk.org.publicwhip/person/26034,http://www.wikidata.org/entity/Q107284337,Sarah Green,Sarah Green,1,1
uk.org.publicwhip/person/21801,http://www.wikidata.org/entity/Q10844155,Fred Blackburn,Fred Blackburn,1,1
uk.org.publicwhip/person/19704,http://www.wikidata.org/entity/Q1086853,Christopher Woodhouse,"Montague Woodhouse, 5th Baron Terrington",1,1
uk.org.publicwhip/person/21710,http://www.wikidata.org/entity/Q1096999,Nigel Davies,Nigel Davies,1,1
uk.org.publicwhip/person/10409,http://www.wikidata.org/entity/Q10985643,Humfrey Malins,Humfrey Malins,1,1
uk.org.publicwhip/person/10556,http://www.wikidata.org/entity/Q1101999,Clive Soley,Clive Soley,1,1
uk.org.publicwhip/person/17200,http://www.wikidata.org/entity/Q1103940,Terence Donovan,Terence Donovan,1,1
uk.org.publicwhip/person/26061,http://www.wikidata.org/entity/Q110863310,Paulette Hamilton,Paulette Hamilton,1,1
uk.org.publicwhip/person/10587,http://www.wikidata.org/entity/Q11154675,Ian Taylor,Ian Taylor,1,1
uk.org.publicwhip/person/26085,http://www.wikidata.org/entity/Q112133647,Simon Lightwood,Simon Lightwood,1,1
uk.org.publicwhip/person/26118,http://www.wikidata.org/entity/Q115550143,Samantha Dixon,Samantha Dixon,1,1
uk.org.publicwhip/person/10090,http://www.wikidata.org/entity/Q1157836,Dale Campbell-Savours,Dale Campbell-Savours,1,1
uk.org.publicwhip/person/21723,http://www.wikidata.org/entity/Q1160939,Daniel West,Daniel Granville West,1,1
uk.org.publicwhip/person/21875,http://www.wikidata.org/entity/Q11682348,Harry West,Harry West,1,1
uk.org.publicwhip/person/17990,http://www.wikidata.org/entity/Q1170763,John Kerr,John Graham Kerr,1,1
uk.org.publicwhip/person/13265,http://www.wikidata.org/entity/Q11722946,Neil Carmichael,Neil Carmichael,1,1
uk.org.publicwhip/person/22048,http://www.wikidata.org/entity/Q11722962,Ness Edwards,Ness Edwards,1,1
uk.org.publicwhip/person/10250,http://www.wikidata.org/entity/Q11722970,John Gunnell,John Gunnell,1,1
uk.org.publicwhip/person/22214,http://www.wikidata.org/entity/Q11723013,William Baxter,William Baxter,1,1
uk.org.publicwhip/person/16469,http://www.wikidata.org/entity/Q1173562,David Alton,David Alton,1,1
uk.org.publicwhip/person/10394,http://www.wikidata.org/entity/Q1175443,David Maclean,David Maclean,1,1
uk.org.publicwhip/person/10568,http://www.wikidata.org/entity/Q1176741,David Stewart,David Stewart,1,1
uk.org.publicwhip/person/19206,http://www.wikidata.org/entity/Q1176748,David Stoddart,David Stoddart,1,1
uk.org.publicwhip/person/18727,http://www.wikidata.org/entity/Q11799507,Osbert Peake,"Osbert Peake, 1st Viscount Ingleby",1,1
uk.org.publicwhip/person/22520,http://www.wikidata.org/entity/Q11806772,Harry Ewing,Harry Ewing,1,1
uk.org.publicwhip/person/21820,http://www.wikidata.org/entity/Q11855440,George Jackson,Colin Jackson,1,1
uk.org.publicwhip/person/16413,http://www.wikidata.org/entity/Q11866745,John Heddle,John Heddle,1,1
uk.org.publicwhip/person/10091,http://www.wikidata.org/entity/Q1189028,Dennis Canavan,Dennis Canavan,1,1
uk.org.publicwhip/person/10607,http://www.wikidata.org/entity/Q1189567,Dennis Turner,Dennis Turner,1,1
uk.org.publicwhip/person/17713,http://www.wikidata.org/entity/Q11902279,Warren Hawksley,Warren Hawksley,1,1
uk.org.publicwhip/person/10207,http://www.wikidata.org/entity/Q1200029,Derek Foster,Derek Foster,1,1
uk.org.publicwhip/person/18225,http://www.wikidata.org/entity/Q1210156,Dickson Mabon,Dickson Mabon,1,1
uk.org.publicwhip/person/10291,http://www.wikidata.org/entity/Q1228567,Alan Howarth,Alan Howarth,1,1
uk.org.publicwhip/person/10201,http://www.wikidata.org/entity/Q1234410,Howard Flight,Howard Flight,1,1
uk.org.publicwhip/person/22222,http://www.wikidata.org/entity/Q1239766,Donald Chapman,Donald Chapman,1,1
uk.org.publicwhip/person/10363,http://www.wikidata.org/entity/Q1245634,Martin Linton,Martin Linton,1,1
uk.org.publicwhip/person/21964,http://www.wikidata.org/entity/Q125704,John Tomlinson,John Tomlinson,1,1
uk.org.publicwhip/person/21792,http://www.wikidata.org/entity/Q1263302,Fitzroy Maclean,Fitzroy MacLean,1,1
uk.org.publicwhip/person/21704,http://www.wikidata.org/entity/Q12724041,Chris Price,Christopher Price,1,1
uk.org.publicwhip/person/22165,http://www.wikidata.org/entity/Q12731310,James Hill,James Hill,1,1
uk.org.publicwhip/person/10588,http://www.wikidata.org/entity/Q12731414,John Taylor,John Taylor,1,1
uk.org.publicwhip/person/17218,http://www.wikidata.org/entity/Q1279583,Tom Driberg,Tom Driberg,1,1
uk.org.publicwhip/person/21924,http://www.wikidata.org/entity/Q128956,Harold Wilson,Harold Wilson,1,1
uk.org.publicwhip/person/10270,http://www.wikidata.org/entity/Q128967,Edward Heath,Edward Heath,1,1
uk.org.publicwhip/person/17210,http://www.wikidata.org/entity/Q128976,Alec Douglas-Home,Alec Douglas-Home,1,1
uk.org.publicwhip/person/18268,http://www.wikidata.org/entity/Q128985,Harold Macmillan,Harold Macmillan,1,1
uk.org.publicwhip/person/17287,http://www.wikidata.org/entity/Q128995,Anthony Eden,Anthony Eden,1,1
uk.org.publicwhip/person/10591,http://www.wikidata.org/entity/Q12899736,Teddy Taylor,Teddy Taylor,1,1
uk.org.publicwhip/person/10480,http://www.wikidata.org/entity/Q12900348,James Plaskitt,James Plaskitt,1,1
uk.org.publicwhip/person/16522,http://www.wikidata.org/entity/Q129006,Clement Attlee,Clement Attlee,1,1
uk.org.publicwhip/person/22181,http://www.wikidata.org/entity/Q1292384,Edward Graham,Ted Graham,1,1
uk.org.publicwhip/person/21756,http://www.wikidata.org/entity/Q1292913,Edward Lyons,Edward Lyons,1,1
uk.org.publicwhip/person/18530,http://www.wikidata.org/entity/Q129679,Colin Moynihan,"Colin Moynihan, 4th Baron Moynihan",1,1
uk.org.publicwhip/person/22591,http://www.wikidata.org/entity/Q1306769,John Lee,John Lee,1,1
uk.org.publicwhip/person/10968,http://www.wikidata.org/entity/Q13195141,Paul Holmes,Paul Holmes,1,1
uk.org.publicwhip/person/19718,http://www.wikidata.org/entity/Q13529752,James Allason,James Allason,1,1
uk.org.publicwhip/person/16505,http://www.wikidata.org/entity/Q13529787,Jack Aspinwall,Jack Aspinwall,1,1
uk.org.publicwhip/person/16578,http://www.wikidata.org/entity/Q13529846,Brian Batsford,Brian Batsford,1,1
uk.org.publicwhip/person/16595,http://www.wikidata.org/entity/Q13529848,Anthony Beaumont-Dark,Anthony Beaumont-Dark,1,1
uk.org.publicwhip/person/22350,http://www.wikidata.org/entity/Q13529849,Nicholas Bennett,Nicholas Bennett,1,1
uk.org.publicwhip/person/16391,http://www.wikidata.org/entity/Q13529851,John Blackburn,John Blackburn,1,1
uk.org.publicwhip/person/10073,http://www.wikidata.org/entity/Q13529853,Ian Bruce,Ian Bruce,1,1
uk.org.publicwhip/person/22570,http://www.wikidata.org/entity/Q13529863,William Carr,William Compton Carr,1,1
uk.org.publicwhip/person/16907,http://www.wikidata.org/entity/Q13529864,Robert Cary,Robert Cary,1,1
uk.org.publicwhip/person/16383,http://www.wikidata.org/entity/Q13529870,Judith Chaplin,Judith Chaplin,1,1
uk.org.publicwhip/person/10111,http://www.wikidata.org/entity/Q13529873,Michael Clark,Michael Clark,1,1
uk.org.publicwhip/person/16995,http://www.wikidata.org/entity/Q13529878,John Cockcroft,John Cockcroft,1,1
uk.org.publicwhip/person/17095,http://www.wikidata.org/entity/Q13529887,Oliver Crosthwaite-Eyre,Oliver Crosthwaite-Eyre,1,1
uk.org.publicwhip/person/22344,http://www.wikidata.org/entity/Q13529889,Knox Cunningham,Knox Cunningham,1,1
uk.org.publicwhip/person/17442,http://www.wikidata.org/entity/Q13529900,Nigel Forman,Nigel Forman,1,1
uk.org.publicwhip/person/22232,http://www.wikidata.org/entity/Q13529901,Ian Fraser,Ian Fraser,1,1
uk.org.publicwhip/person/17482,http://www.wikidata.org/entity/Q13529903,Muriel Gammans,Muriel Gammans,1,1
uk.org.publicwhip/person/17521,http://www.wikidata.org/entity/Q13529909,John Gilmour,John Gilmour,1,1
uk.org.publicwhip/person/22088,http://www.wikidata.org/entity/Q13529910,Ralph Glyn,"Ralph Glyn, 1st Baron Glyn",1,1
uk.org.publicwhip/person/17552,http://www.wikidata.org/entity/Q13529911,Victor Goodhew,Victor Goodhew,1,1
uk.org.publicwhip/person/22351,http://www.wikidata.org/entity/Q13529914,Matthew Banks,Matthew Banks,1,1
uk.org.publicwhip/person/22587,http://www.wikidata.org/entity/Q13529916,Harry Greenway,Harry Greenway,1,1
uk.org.publicwhip/person/17622,http://www.wikidata.org/entity/Q13529920,Harold Gurden,Harold Gurden,1,1
uk.org.publicwhip/person/17669,http://www.wikidata.org/entity/Q13529926,Patrick Hannon,Patrick Hannon,1,1
uk.org.publicwhip/person/17904,http://www.wikidata.org/entity/Q13529951,Michael Irvine,Michael Irvine,1,1
uk.org.publicwhip/person/17915,http://www.wikidata.org/entity/Q13529953,Tim Janman,Tim Janman,1,1
uk.org.publicwhip/person/14149,http://www.wikidata.org/entity/Q13529954,Howard Johnson,Howard Johnson,1,1
uk.org.publicwhip/person/21996,http://www.wikidata.org/entity/Q13529957,John Kerans,John Kerans,1,1
uk.org.publicwhip/person/17985,http://www.wikidata.org/entity/Q13529958,Henry Kerby,Henry Kerby,1,1
uk.org.publicwhip/person/18093,http://www.wikidata.org/entity/Q13529968,Henry Legge-Bourke,Harry Legge-Bourke,1,1
uk.org.publicwhip/person/18107,http://www.wikidata.org/entity/Q13529970,Mark Lennox-Boyd,Mark Lennox-Boyd,1,1
uk.org.publicwhip/person/18549,http://www.wikidata.org/entity/Q13529978,Hugh Munro-Lucas-Tooth,Hugh Lucas-Tooth,1,1
uk.org.publicwhip/person/18228,http://www.wikidata.org/entity/Q13529979,Charles MacAndrew,"Charles MacAndrew, 1st Baron MacAndrew",1,1
uk.org.publicwhip/person/18229,http://www.wikidata.org/entity/Q13529980,Ian MacArthur,Ian MacArthur,1,1
uk.org.publicwhip/person/18331,http://www.wikidata.org/entity/Q13529988,Paul Marland,Paul Marland,1,1
uk.org.publicwhip/person/10422,http://www.wikidata.org/entity/Q13529989,Michael Mates,Michael Mates,1,1
uk.org.publicwhip/person/22595,http://www.wikidata.org/entity/Q13529994,Iain Mills,Iain Mills,1,1
