heading,first,last,file,leg_title,notes,already_checked
Second Reading (And Remaining Stages),uk.org.publicwhip/lords/2014-03-10a.1550.9,uk.org.publicwhip/lords/2014-03-10a.1551.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2014-03-10a.xml,Supply and Appropriation (Anticipation and Adjustments) Act 2014,NA,NA
Marriage (Same Sex Couples) Bill — Second Reading,uk.org.publicwhip/lords/2013-06-03a.937.5,uk.org.publicwhip/lords/2013-06-03a.969.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2013-06-03a.xml,Marriage (Same Sex Couples) Act 2013,NA,NA
Second Reading,uk.org.publicwhip/lords/2015-10-26a.1042.4,uk.org.publicwhip/lords/2015-10-26a.1084.5,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2015-10-26a.xml,Bank of England and Financial Services Act 2016,,1
Wales Bill - Second Reading,uk.org.publicwhip/lords/2016-10-10e.1672.7,uk.org.publicwhip/lords/2016-10-10e.1697.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2016-10-10e.xml,Wales Act 2017,,1
Counter-Terrorism And Security Bill — Second Reading,uk.org.publicwhip/lords/2015-01-13a.661.1,uk.org.publicwhip/lords/2015-01-13a.772.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2015-01-13a.xml,Counter-Terrorism and Security Act 2015,NA,NA
House Of Lords Bill [Hl],uk.org.publicwhip/lords/2007-11-30b.1415.6,uk.org.publicwhip/lords/2007-11-30b.1484.4,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2007-11-30b.xml,NA,,1
European Union (Referendum) Bill — Second Reading,uk.org.publicwhip/lords/2014-01-10a.1738.1,uk.org.publicwhip/lords/2014-01-10a.1834.7,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2014-01-10a.xml,European Union Referendum Act 2015,NA,NA
European Union (Notification Of Withdrawal) Bill - Second Reading (2nd Day),uk.org.publicwhip/lords/2017-02-21a.149.1,uk.org.publicwhip/lords/2017-02-21a.192.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2017-02-21a.xml,European Union (Notification of Withdrawal) Act 2017,,1
Cultural Property (Armed Conflicts) Bill [Hl] - Second Reading,uk.org.publicwhip/lords/2016-06-06d.583.5,uk.org.publicwhip/lords/2016-06-06d.619.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2016-06-06d.xml,Cultural Property (Armed Conflicts) Act 2017,NA,NA
Second Reading,uk.org.publicwhip/lords/2011-11-25a.1214.7,uk.org.publicwhip/lords/2011-11-25a.1258.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2011-11-25a.xml,NA,NA,NA
