heading,first,last,file,leg_title
Animals (Low-Welfare Activities Abroad) Bill - Second Reading,uk.org.publicwhip/lords/2023-07-14a.1994.2,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-07-14a.xml,Animals (Low-Welfare Activities Abroad) Act 2023
Coinage (Measurement) Act 2011,uk.org.publicwhip/lords/2011-07-15a.983.4,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2011-07-15a.xml,Coinage (Measurement) Act 2011
Commons Bill [HL],uk.org.publicwhip/lords/2005-07-20b.1487.1,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2005-07-20b.xml,Commons Act 2006
Commonwealth Development Corporation Bill - Second Reading (and remaining stages),uk.org.publicwhip/lords/2017-02-09a.1865.5,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2017-02-09a.xml,Commonwealth Development Corporation Act 2017
Company Law Reform Bill [HL],uk.org.publicwhip/lords/2006-01-11c.180.1,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2006-01-11c.xml,Companies Act 2006
Constitutional Reform and Governance Bill ,uk.org.publicwhip/lords/2010-03-24a.959.0,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2010-03-24a.xml,Constitutional Reform and Governance Act 2010
Consumer Insurance (Disclosure and Representations) Bill [HL] — Second Reading,uk.org.publicwhip/lords/2011-06-15a.789.3,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2011-06-15a.xml,Consumer Insurance (Disclosure and Representations) Act 2012
Contingencies Fund Bill - Second Reading (and remaining stages),uk.org.publicwhip/lords/2020-03-25a.1791.3,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2020-03-25a.xml,Contingencies Fund Act 2021
Copyright (Visually Impaired Persons) Bill,uk.org.publicwhip/lords/2002-07-12a.902.1,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2002-07-12a.xml,Copyright (Visually Impaired Persons) Act 2002 (repealed)
Corporation Tax Bill,uk.org.publicwhip/lords/2010-03-02a.1409.5,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2010-03-02a.xml,Corporation Tax Act 2010
