heading,first,last,file,leg_title
Adoption And Children Bill,uk.org.publicwhip/lords/2002-10-30a.250.1,uk.org.publicwhip/lords/2002-10-30a.252.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2002-10-30a.xml,Adoption and Children Act 2002
Advanced Research And Invention Agency Bill - Third Reading,uk.org.publicwhip/lords/2022-01-10a.819.1,uk.org.publicwhip/lords/2022-01-10a.821.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-01-10a.xml,Advanced Research and Invention Agency Act 2022
Agriculture Bill - Third Reading,uk.org.publicwhip/lords/2020-10-01b.312.3,uk.org.publicwhip/lords/2020-10-01b.317.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2020-10-01b.xml,Agriculture Act 2020
Air Traffic Management And Unmanned Aircraft Bill [Hl] - Third Reading,uk.org.publicwhip/lords/2021-01-28a.1789.1,uk.org.publicwhip/lords/2021-01-28a.1792.1,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2021-01-28a.xml,Air Traffic Management and Unmanned Aircraft Act 2021
Alan Turing (Statutory Pardon) Bill [Hl] — Third Reading,uk.org.publicwhip/lords/2013-10-30a.1584.5,uk.org.publicwhip/lords/2013-10-30a.1585.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2013-10-30a.xml,NA
Animal Welfare (Sentencing) Bill - Third Reading,uk.org.publicwhip/lords/2021-04-28b.2250.1,uk.org.publicwhip/lords/2021-04-28b.2251.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2021-04-28b.xml,Animal Welfare (Sentencing) Act 2021
Animal Welfare (Sentience) Bill [Hl] - Third Reading,uk.org.publicwhip/lords/2021-12-13b.15.3,uk.org.publicwhip/lords/2021-12-13b.16.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2021-12-13b.xml,Animal Welfare (Sentience) Act 2022
Animal Welfare (Service Animals) Bill - Third Reading,uk.org.publicwhip/lords/2019-04-02b.113.1,uk.org.publicwhip/lords/2019-04-02b.113.3,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2019-04-02b.xml,Animal Welfare (Service Animals) Act 2019
Animal Welfare Bill,uk.org.publicwhip/lords/2006-11-01c.241.172,uk.org.publicwhip/lords/2006-11-01c.241.174,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2006-11-01c.xml,Animal Welfare Act 2006
Animals (Low-Welfare Activities Abroad) Bill - Third Reading,uk.org.publicwhip/lords/2023-09-18a.1201.3,uk.org.publicwhip/lords/2023-09-18a.1204.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-09-18a.xml,Animals (Low-Welfare Activities Abroad) Act 2023
Animals (Penalty Notices) Bill - Third Reading,uk.org.publicwhip/lords/2022-04-01a.1791.3,uk.org.publicwhip/lords/2022-04-01a.1793.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-04-01a.xml,Animals (Penalty Notices) Act 2022
