"heading","first","last","file"
"Fire Safety Bill - Third Reading","uk.org.publicwhip/lords/2020-11-24a.141.1","uk.org.publicwhip/lords/2020-11-24a.145.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2020-11-24a.xml"
"Modern Slavery Bill","uk.org.publicwhip/lords/2015-03-04a.246.0","uk.org.publicwhip/lords/2015-03-04a.249.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2015-03-04a.xml"
"Deregulation Bill","uk.org.publicwhip/lords/2015-03-04a.298.0","uk.org.publicwhip/lords/2015-03-04a.308.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2015-03-04a.xml"
"Commons Bill [Hl]","uk.org.publicwhip/lords/2006-01-18c.717.4","uk.org.publicwhip/lords/2006-01-18c.718.2","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2006-01-18c.xml"
"Disabled Persons (Independent Living) Bill [Hl]","uk.org.publicwhip/lords/2008-02-25a.438.4","uk.org.publicwhip/lords/2008-02-25a.440.3","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2008-02-25a.xml"
"Telecommunications Infrastructure (Relief From Non-Domestic Rates) Bill - Third Reading","uk.org.publicwhip/lords/2017-12-06a.1060.3","uk.org.publicwhip/lords/2017-12-06a.1060.5","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2017-12-06a.xml"
"European Communities (Finance) Bill","uk.org.publicwhip/lords/2001-11-13a.458.7","uk.org.publicwhip/lords/2001-11-13a.463.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2001-11-13a.xml"
"Co-Operative And Community Benefit Societies And Credit Unions Bill [Hl]","uk.org.publicwhip/lords/2010-01-14a.691.7","uk.org.publicwhip/lords/2010-01-14a.692.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2010-01-14a.xml"
"Traffic Management Bill","uk.org.publicwhip/lords/2004-07-08a.988.2","uk.org.publicwhip/lords/2004-07-08a.988.5","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2004-07-08a.xml"
"Telecommunications (Security) Bill - Third Reading","uk.org.publicwhip/lords/2021-10-26b.646.5","uk.org.publicwhip/lords/2021-10-26b.649.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2021-10-26b.xml"
"Borders, Citizenship And Immigration Bill [Hl]","uk.org.publicwhip/lords/2009-04-22a.1538.1","uk.org.publicwhip/lords/2009-04-22a.1543.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2009-04-22a.xml"
"Extradition Bill","uk.org.publicwhip/lords/2003-11-12a.1437.7","uk.org.publicwhip/lords/2003-11-12a.1437.8","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2003-11-12a.xml"
"Anti-Social Behaviour Bill","uk.org.publicwhip/lords/2003-11-12a.1467.0","uk.org.publicwhip/lords/2003-11-12a.1468.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2003-11-12a.xml"
"Business And Planning Bill - Third Reading","uk.org.publicwhip/lords/2020-07-20b.2040.4","uk.org.publicwhip/lords/2020-07-20b.2041.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2020-07-20b.xml"
"National Insurance Contributions Bill","uk.org.publicwhip/lords/2008-07-09a.752.4","uk.org.publicwhip/lords/2008-07-09a.752.5","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2008-07-09a.xml"
"Citizenship (Armed Forces) Bill","uk.org.publicwhip/lords/2014-03-04a.1223.3","uk.org.publicwhip/lords/2014-03-04a.1223.5","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2014-03-04a.xml"
"Northern Ireland (Miscellaneous Provisions) Bill","uk.org.publicwhip/lords/2014-03-04a.1275.0","uk.org.publicwhip/lords/2014-03-04a.1276.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2014-03-04a.xml"
"Children And Adoption Bill [Hl]","uk.org.publicwhip/lords/2005-11-29c.206.2","uk.org.publicwhip/lords/2005-11-29c.206.3","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2005-11-29c.xml"
"Commonhold And Leasehold Reform Bill [Hl]","uk.org.publicwhip/lords/2001-11-19a.945.2","uk.org.publicwhip/lords/2001-11-19a.947.2","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2001-11-19a.xml"
